,brand,model,top_speed_kmh,battery_capacity_kWh,number_of_cells,torque_nm,efficiency_wh_per_km,range_km,acceleration_0_100_s,fast_charging_power_kw_dc,fast_charge_port,towing_capacity_kg,cargo_volume_l,seats,drivetrain,segment,length_mm,width_mm,height_mm,car_body_type
207,MG,S5  EV 64 kWh,190,62.1,0.0,350.0,134,365,6.3,90.0,CCS,750.0,453,5,RWD,JC - Medium,4476,1849,1621,SUV
208,MG,ZS EV Long Range,175,68.3,0.0,280.0,155,370,8.4,82.0,CCS,500.0,448,5,FWD,JB - Compact,4323,1809,1649,SUV
209,MG,ZS EV Standard Range,175,49.0,0.0,280.0,153,265,8.6,50.0,CCS,500.0,448,5,FWD,JB - Compact,4323,1809,1649,SUV
210,Maserati,GranCabrio Folgore,290,83.0,0.0,1350.0,198,395,2.8,190.0,CCS,0.0,151,4,AWD,F - Luxury,4966,1957,1365,Cabriolet
211,Maserati,GranTurismo Folgore,325,83.0,0.0,1350.0,182,420,2.7,217.0,CCS,0.0,270,4,AWD,F - Luxury,4959,1957,1353,Coupe
212,Maserati,Grecale Folgore,220,95.0,0.0,820.0,220,400,4.1,110.0,CCS,1800.0,535,5,AWD,JE - Executive,4865,1948,1651,SUV
213,Maxus,MIFA 9,180,84.0,0.0,350.0,195,365,9.2,103.0,CCS,1000.0,31 Banana Boxes,7,FWD,N - Passenger Van,5270,2000,1840,Small Passenger Van
214,Mazda,6e 68.8 kWh,175,66.0,0.0,320.0,138,390,7.6,120.0,CCS,1500.0,456,5,RWD,D - Large,4921,1890,1491,Liftback Sedan
215,Mazda,6e Long Range 80 kWh,175,75.0,0.0,320.0,136,440,7.8,70.0,CCS,1500.0,456,5,RWD,D - Large,4921,1890,1491,Liftback Sedan
216,Mercedes-Benz,CLA 250+,210,85.0,0.0,335.0,122,565,6.7,235.0,CCS,1500.0,405,5,RWD,D - Large,4723,1855,1468,Sedan
217,Mercedes-Benz,CLA 350 4MATIC,210,85.0,0.0,515.0,126,550,4.9,235.0,CCS,1800.0,405,5,AWD,D - Large,4723,1855,1468,Sedan
218,Mercedes-Benz,EQA 250,160,66.5,300.0,385.0,146,395,8.6,100.0,CCS,1500.0,340,5,FWD,JC - Medium,4463,1834,1620,SUV
219,Mercedes-Benz,EQA 250+,160,70.5,0.0,385.0,142,420,8.6,90.0,CCS,1500.0,340,5,FWD,JC - Medium,4463,1834,1620,SUV
220,Mercedes-Benz,EQA 300 4MATIC,160,66.5,300.0,390.0,162,350,7.7,100.0,CCS,1800.0,340,5,AWD,JC - Medium,4463,1834,1620,SUV
221,Mercedes-Benz,EQA 350 4MATIC,160,66.5,300.0,520.0,162,350,6.0,100.0,CCS,1800.0,340,5,AWD,JC - Medium,4463,1834,1620,SUV
222,Mercedes-Benz,EQB 250+,160,70.5,0.0,385.0,152,415,8.9,90.0,CCS,1400.0,495,7,FWD,JC - Medium,4684,1834,1667,SUV
223,Mercedes-Benz,EQB 300 4MATIC,160,66.5,300.0,390.0,168,345,8.0,100.0,CCS,1700.0,495,7,AWD,JC - Medium,4684,1834,1667,SUV
224,Mercedes-Benz,EQB 350 4MATIC,160,66.5,300.0,520.0,168,345,6.2,100.0,CCS,1700.0,495,7,AWD,JC - Medium,4684,1834,1667,SUV
225,Mercedes-Benz,EQE 300,210,89.0,0.0,550.0,163,525,7.3,120.0,CCS,750.0,430,5,RWD,E - Executive,4946,1906,1503,Sedan
226,Mercedes-Benz,EQE 350 4MATIC,210,90.6,360.0,765.0,173,515,6.3,141.0,CCS,1700.0,430,5,AWD,E - Executive,4946,1906,1503,Sedan
227,Mercedes-Benz,EQE 350+,210,96.0,0.0,565.0,164,555,6.5,141.0,CCS,750.0,430,5,RWD,E - Executive,4946,1906,1510,Sedan
228,Mercedes-Benz,EQE 500 4MATIC,210,90.6,360.0,858.0,173,505,4.7,141.0,CCS,1700.0,430,5,AWD,E - Executive,4946,1906,1503,Sedan
229,Mercedes-Benz,EQE AMG 43 4MATIC,210,90.6,360.0,858.0,207,450,4.2,141.0,CCS,1700.0,430,5,AWD,E - Executive,4964,1906,1495,Sedan
230,Mercedes-Benz,EQE AMG 53 4MATIC+,220,90.6,360.0,950.0,208,450,3.5,141.0,CCS,1700.0,430,5,AWD,E - Executive,4964,1906,1495,Sedan
231,Mercedes-Benz,EQE SUV 300,210,90.6,0.0,550.0,182,450,7.6,141.0,CCS,750.0,520,5,RWD,JE - Executive,4863,1940,1685,SUV
232,Mercedes-Benz,EQE SUV 350 4MATIC,210,90.6,0.0,765.0,189,435,6.6,141.0,CCS,1800.0,520,5,AWD,JE - Executive,4863,1940,1685,SUV
233,Mercedes-Benz,EQE SUV 350+,210,96.0,0.0,565.0,164,475,6.9,141.0,CCS,750.0,520,5,RWD,JE - Executive,4863,1940,1685,SUV
234,Mercedes-Benz,EQE SUV 500 4MATIC,210,96.0,0.0,858.0,187,455,4.9,141.0,CCS,1800.0,520,5,AWD,JE - Executive,4863,1940,1685,SUV
235,Mercedes-Benz,EQE SUV AMG 43 4MATIC,210,90.6,360.0,858.0,214,425,4.3,141.0,CCS,1800.0,520,5,AWD,JE - Executive,4879,1940,1672,SUV
236,Mercedes-Benz,EQE SUV AMG 53 4MATIC+,240,90.6,360.0,1000.0,242,420,3.5,141.0,CCS,1800.0,520,5,AWD,JE - Executive,4879,1940,1672,SUV
237,Mercedes-Benz,EQS 350,210,96.0,360.0,565.0,165,570,6.7,130.0,CCS,750.0,620,5,RWD,F - Luxury,5223,1926,1512,Sedan
238,Mercedes-Benz,EQS 450 4MATIC,210,118.0,0.0,800.0,180,655,5.7,160.0,CCS,1700.0,620,5,AWD,F - Luxury,5223,1926,1518,Sedan
